Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Datadriven1nopcommerce,Chrome 72.0.3626.109,,2019-02-17 19:28:54,2019-02-17 19:31:18,2m - 23.662s,FAILED
,,,,,,
Test Cases/Datadriven1nopcommerce,Chrome 72.0.3626.109,,2019-02-17 19:28:55,2019-02-17 19:30:08,1m - 12.648s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-17 19:28:56,2019-02-17 19:28:56,0.844s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-17 19:28:56,2019-02-17 19:28:56,0.009s,PASSED
"openBrowser("""")",Chrome 72.0.3626.109,,2019-02-17 19:28:57,2019-02-17 19:29:14,16.747s,PASSED
"navigateToUrl(""https://www.nopcommerce.com/register.aspx"")",Chrome 72.0.3626.109,,2019-02-17 19:29:14,2019-02-17 19:29:21,7.190s,PASSED
maximizeWindow(),Chrome 72.0.3626.109,,2019-02-17 19:29:21,2019-02-17 19:29:24,3.185s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/FirstName""), FirstName)",Chrome 72.0.3626.109,,2019-02-17 19:29:24,2019-02-17 19:29:34,9.402s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/Lastname""), LastName)",Chrome 72.0.3626.109,,2019-02-17 19:29:34,2019-02-17 19:29:42,8.475s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/E-Mail""), EMail)",Chrome 72.0.3626.109,,2019-02-17 19:29:42,2019-02-17 19:29:51,8.602s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/Username""), Username)",Chrome 72.0.3626.109,,2019-02-17 19:29:51,2019-02-17 19:29:59,8.471s,PASSED
"selectOptionByLabel(findTestObject(""Datadriven_OR/Datadriven1/Countrydropdown""), Country, false)",Chrome 72.0.3626.109,,2019-02-17 19:29:59,2019-02-17 19:30:05,5.389s,FAILED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.109,,2019-02-17 19:30:05,2019-02-17 19:30:08,3.141s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.109,,2019-02-17 19:30:08,2019-02-17 19:30:08,0.019s,PASSED
,,,,,,
Test Cases/Datadriven1nopcommerce,Chrome 72.0.3626.109,,2019-02-17 19:30:08,2019-02-17 19:31:17,1m - 9.605s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-17 19:30:08,2019-02-17 19:30:08,0.012s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 72.0.3626.109,,2019-02-17 19:30:08,2019-02-17 19:30:08,0.008s,PASSED
"openBrowser("""")",Chrome 72.0.3626.109,,2019-02-17 19:30:08,2019-02-17 19:30:24,16.536s,PASSED
"navigateToUrl(""https://www.nopcommerce.com/register.aspx"")",Chrome 72.0.3626.109,,2019-02-17 19:30:24,2019-02-17 19:30:32,7.608s,PASSED
maximizeWindow(),Chrome 72.0.3626.109,,2019-02-17 19:30:32,2019-02-17 19:30:35,3.206s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/FirstName""), FirstName)",Chrome 72.0.3626.109,,2019-02-17 19:30:35,2019-02-17 19:30:44,8.486s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/Lastname""), LastName)",Chrome 72.0.3626.109,,2019-02-17 19:30:44,2019-02-17 19:30:52,8.437s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/E-Mail""), EMail)",Chrome 72.0.3626.109,,2019-02-17 19:30:52,2019-02-17 19:31:01,8.636s,PASSED
"setText(findTestObject(""Datadriven_OR/Datadriven1/Username""), Username)",Chrome 72.0.3626.109,,2019-02-17 19:31:01,2019-02-17 19:31:09,8.403s,PASSED
"selectOptionByLabel(findTestObject(""Datadriven_OR/Datadriven1/Countrydropdown""), Country, false)",Chrome 72.0.3626.109,,2019-02-17 19:31:09,2019-02-17 19:31:14,5.165s,FAILED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.109,,2019-02-17 19:31:14,2019-02-17 19:31:17,3.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 72.0.3626.109,,2019-02-17 19:31:17,2019-02-17 19:31:17,0.008s,PASSED
